x,y,yaw
1.518043578310826591e+00,1.969972781912099347e+00,0.000000000000000000e+00
1.515875380727453647e+00,1.979735049760301902e+00,0.000000000000000000e+00
1.513734114906174044e+00,1.989503115948218603e+00,0.000000000000000000e+00
1.511608184167559488e+00,1.999274539069654022e+00,0.000000000000000000e+00
1.509496215220625048e+00,2.009049013948833728e+00,0.000000000000000000e+00
1.507390120907348363e+00,2.018824709531111150e+00,0.000000000000000000e+00
1.505287230939703180e+00,2.028601015464937429e+00,0.000000000000000000e+00
1.503185332793324891e+00,2.038377626574538137e+00,0.000000000000000000e+00
1.500855849813166332e+00,2.048102662978260380e+00,0.000000000000000000e+00
1.498790649053663104e+00,2.057886903482221808e+00,0.000000000000000000e+00
1.494521468851235158e+00,2.066929872030095705e+00,0.000000000000000000e+00
1.503251174466657902e+00,2.071807496432791051e+00,0.000000000000000000e+00
1.510033477171506933e+00,2.079156129081036308e+00,0.000000000000000000e+00
1.511679900474550253e+00,2.089019410110574793e+00,0.000000000000000000e+00
1.513216002735137566e+00,2.098901001686579004e+00,0.000000000000000000e+00
1.514221480617936821e+00,2.108850342284506407e+00,0.000000000000000000e+00
1.515174773443308753e+00,2.118804565694824671e+00,0.000000000000000000e+00
1.515859740469014172e+00,2.128781066936676236e+00,0.000000000000000000e+00
1.516559889989497423e+00,2.138756652651204515e+00,0.000000000000000000e+00
1.516726058198673899e+00,2.148755126548814953e+00,0.000000000000000000e+00
1.526084120733645522e+00,2.152280211919241903e+00,0.000000000000000000e+00
1.528342802934136602e+00,2.162022032990557729e+00,0.000000000000000000e+00
1.531474974494986485e+00,2.171518797915007237e+00,0.000000000000000000e+00
1.535943510772060039e+00,2.180464720566612780e+00,0.000000000000000000e+00
1.545511839415613098e+00,2.177558531666727415e+00,0.000000000000000000e+00
1.550588438423236015e+00,2.186173948954626578e+00,0.000000000000000000e+00
1.557840482938874560e+00,2.193059324777288932e+00,0.000000000000000000e+00
